# #
#      RegulonDB is free for academic/noncommercial use 
# 
#      User is not entitled to change or erase data sets of the RegulonDB 
#      database or to eliminate copyright notices from RegulonDB. Furthermore, 
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly 
#      or as a whole into other databank systems, without prior written consent 
#      from CCG-UNAM. 
# 
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp 
# 
# Citation 
# 
#      Gama-Castro S. et al. (2016). "RegulonDB version 9.0: high-level integration of gene regulation, coexpression, motif clustering and beyond". 
#      Nucleic Acids Res. 2016 Jan 4;44(D1):D133-43. doi: 10.1093/nar/gkv1156. Epub 2015 Nov 2. 
# 
# 
# Contact 
# 
#      Person: RegulonDB Team 
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp 
#          (regulondb@ccg.unam.mx) 
# 
#
 # RegulonDB: 9.1
# Table: CONFORMATION_EFFECTOR_LINK
# Columns:
# 1) EFFECTOR_ID
# 2) CONFORMATION_ID
ECK120011196	ECK120011195
ECK120011237	ECK120011236
ECK120011271	ECK120011493
ECK120011271	ECK120011503
ECK120011271	ECK120011509
ECK120011271	ECK120011576
ECK120011271	ECK120011742
ECK120011271	ECK120012483
ECK120011271	ECK120014104
ECK120011271	ECK120015301
ECK120011271	ECK120015535
ECK120011271	ECK120015688
ECK120011271	ECK120016094
ECK120011271	ECK120011346
ECK120011271	ECK120011307
ECK120011271	ECK120016141
ECK120011271	ECK125228799
ECK120011271	ECK125160660
ECK120011271	ECK125147035
ECK120011271	ECK125145856
ECK120011271	ECK120034553
ECK120011271	ECK125108725
ECK120011271	ECK125110277
ECK120011271	ECK125110285
ECK120011271	ECK125134848
ECK120011271	ECK125145851
ECK120011314	ECK120011313
ECK120011380	ECK120011379
ECK120011385	ECK120011384
ECK120011439	ECK120011438
ECK120011484	ECK120011483
ECK120011672	ECK120011671
ECK120011672	ECK125147382
ECK120011905	ECK120011904
ECK120011905	ECK120012219
ECK120011905	ECK125147377
ECK120012103	ECK120012102
ECK120012178	ECK120012177
ECK120012178	ECK125147270
ECK120012220	ECK120012219
ECK120012353	ECK120012352
ECK120012633	ECK120012632
ECK120012648	ECK120012647
ECK120012856	ECK120012855
ECK120012879	ECK120012878
ECK120012879	ECK120013234
ECK120013067	ECK120013066
ECK120013094	ECK120013093
ECK120013788	ECK120013787
ECK120015583	ECK120015582
ECK120015638	ECK120015637
ECK120015638	ECK125140769
ECK120015772	ECK120015771
ECK120016261	ECK120034468
