1,YAL069W,335,314
1,YAL068W-A,538,254
1,PAU8,1807,362
1,YAL067W-A,2480,227
1,SEO1,7235,1781
1,YAL066W,10091,308
1,YAL065C,11565,386
1,YAL064W-B,12046,380
1,TDA8,13363,380
1,YAL064W,21566,284
1,YAL063C-A,22395,290
1,FLO9,24000,3968
1,GDH3,31567,1373
1,BDH2,33448,1253
1,BDH1,35155,1148
1,YAL059C-A,36496,422
1,ECM1,36509,638
1,CNE1,37464,1508
1,YAL056C-A,38696,350
1,GPB2,39259,2642
1,PEX22,42177,542
1,ACS1,42881,2141
1,FLC2,45899,2351
1,OAF1,48564,3143
1,AIM2,51855,740
1,GEM1,52801,1988
1,YAL047W-A,54584,329
1,SPC72,54989,1868
1,BOL3,57029,356
1,YAL045C,57488,308
1,BOL1,57518,332
1,GCV3,57950,512
1,PTA1,58695,2357
1,YAL042C-A,61231,377
1,ERV46,61316,1247
1,CDC24,62840,2564
1,CLN3,65778,1742
1,CYC3,68716,809
1,CDC19,71786,1502
1,YAL037C-B,72326,974
1,YAL037C-A,73426,92
1,YAL037W,74020,803
1,RBG1,75043,1109
1,FUN12,76427,3008
1,YAL034C-B,79489,353
1,MTW1,79718,869
1,FUN19,80710,1241
1,POP5,82706,521
1,PRP45,83335,1139
1,YAL031W-A,84669,308
1,GIP4,84749,2282
1,SNC1,87286,466
1,MYO4,87855,4415
1,FRT2,92900,1586
1,SAW1,94687,785
1,YAL026C-A,95386,437
1,DRS2,95630,4067
1,HRA1,99305,563
1,MAK16,100225,920
1,LTE1,101565,4307
1,PMT2,106272,2279
1,FUN26,108877,1553
1,CCR4,110846,2513
1,ATS1,113614,1001
1,YAL019W-A,114250,569
1,FUN30,114919,3395
1,LDS1,118564,977
1,PSK1,120225,4070
1,YAL016C-B,124307,185
1,YAL016C-A,124755,314
1,TPD3,124879,1907
1,NTG1,126903,1199
1,SYN8,128252,767
1,DEP1,129270,1217
1,CYS3,130799,1184
1,SWC3,132199,1877
1,MDM10,134184,1481
1,SPO7,135854,779
1,FUN14,136914,596
1,ERP2,137698,647
1,TRN1,139152,102
1,SSA1,139503,1928
1,YAL004W,140760,647
1,EFB1,142174,986
1,SNR18,142367,101
1,VPS8,143707,3824
1,TFC3,147594,3572
1,NUP60,152257,1619
1,ERP1,154065,659
1,SWD1,155005,1280
1,RFA1,156754,1865
1,SEN34,158966,827
1,YAR009C,160597,3590
1,YAR010C,164544,1322
1,TGA1,166267,72
1,BUD14,166742,2129
1,ADE1,169375,920
1,KIN3,170396,1307
1,CDC15,172211,2924
1,YAR019W-A,174998,332
1,PAU7,176856,167
1,YAR023C,179281,539
1,SUP56,181141,113
1,tS(AGA)A,182522,81
1,UIP3,183770,707
1,YAR028W,184892,704
1,YAR029W,186321,224
1,YAR030C,186512,341
1,PRM9,186836,896
1,MST28,188107,704
1,YAT1,190193,2063
1,YAR035C-A,192337,80
1,SWH1,192619,3566
1,YAR047C,201467,320
1,FLO1,203403,4613
1,YAR053W,208367,296
1,YAR060C,217157,335
1,YAR064W,220198,299
1,YAR066W,221049,611
1,YAR068W,222406,485
1,YAR069C,224011,293
1,YAR070C,224563,299
1,PHO11,225460,1403
1,IMD1,227742,1211
1,YAR075W,228844,473
2,YBL113C,280,2378
2,YBL113W-A,646,482
2,YBL112C,2582,317
2,YBL111C,2907,2102
2,YBL109W,5790,335
2,PAU9,7605,128
2,YBL108W,8177,305
2,YBL107W-A,9268,104
2,tL(UAA)B1,9583,83
2,MIX23,9961,590
2,SRO77,10847,3032
2,PKC1,14241,3455
2,SEA4,18177,3116
2,RTG3,22076,1460
2,SFT2,24098,647
2,ECM21,24946,3353
2,YBL100W-C,28427,119
2,YBL100W-A,29935,1316
2,YBL100W-B,29935,5313
2,tF(GAA)B,36398,90
2,YBL100C,36989,314
2,ATP1,37053,1637
2,BNA4,39145,1382
2,BRN1,40831,2264
2,YBL096C,43174,308
2,MRX3,43277,812
2,YBL094C,43765,332
2,ROX3,44256,662
2,RPL32,45645,725
2,SCS22,46565,615
2,MAP2,47363,1265
2,MRP21,48825,533
2,AVT5,49574,1379
2,TEL1,51019,8363
2,RPL23A,59822,917
2,YBL086C,61202,1400
2,BOI1,63876,2942
2,CDC27,67169,2276
2,YBL083C,69713,425
2,ALG3,69751,1376
2,YBL081W,71866,1106
2,PET112,73070,1625
2,NUP170,75259,4508
2,ATG8,80378,353
2,YBL077W,80897,431
2,ILS1,81043,3218
2,SSA3,84499,1949
2,AAR2,86722,1067
